elo_bucket_start,elo_bucket_label,position_count,candidate_count,actual_candidate_count,engine_best_candidate_count,mean_actual_realizability,mean_engine_best_realizability,mean_actual_minus_engine_best,actual_beats_engine_best_rate,actual_matches_top_realizability_rate,candidate_level_maia_probability_realizability_corr
1000,1000-1099,106,341,106,106,39.6815,41.0106,-1.3291,0.1038,0.6887,0.2851
1100,1100-1199,145,443,145,145,43.4351,46.7206,-3.2854,0.1241,0.5517,0.2149
1200,1200-1299,117,356,115,117,42.562,47.6605,-5.161,0.1282,0.5897,0.2582
1300,1300-1399,182,541,181,182,41.8941,43.745,-1.9103,0.0879,0.6264,0.2119
1400,1400-1499,142,441,139,142,39.4847,44.2749,-4.8585,0.0845,0.5704,0.1964
1500,1500-1599,337,1036,335,337,42.0671,43.9128,-1.7559,0.1602,0.6647,0.1912
1600,1600-1699,266,829,264,266,43.5705,47.0388,-3.4406,0.1203,0.594,0.247
1700,1700-1799,302,939,302,302,40.8505,43.8303,-2.9798,0.1126,0.7086,0.2302
1800,1800-1899,268,825,267,268,43.0455,44.0174,-1.0131,0.1642,0.6567,0.1689
1900,1900-1999,193,621,192,193,42.819,45.4356,-2.6473,0.1192,0.5959,0.1586
2000,2000-2099,233,727,232,233,42.7575,44.2915,-1.4819,0.176,0.6352,0.1927
2100,2100-2199,77,226,77,77,40.4139,40.7431,-0.3292,0.1169,0.7662,0.1171
2200,2200-2299,104,335,104,104,44.0535,45.033,-0.9795,0.1154,0.6731,0.1114
2300,2300-2399,43,141,43,43,36.6112,38.2337,-1.6226,0.0,0.814,0.1719
2400,2400-2499,18,55,18,18,56.0278,59.3372,-3.3094,0.1111,0.6667,0.5611
2500,2500-2599,4,12,3,4,55.3767,56.5575,-8.1567,0.0,0.25,0.7557
2600,2600-2699,5,16,5,5,38.256,33.472,4.784,0.2,0.8,0.0447
2700,2700-2799,19,64,19,19,46.6126,46.7237,-0.1111,0.2105,0.6842,0.4499
2800,2800-2899,17,50,17,17,33.0,35.3759,-2.3759,0.0,0.7059,-0.1755
