position_id,game_id,ply_index,fullmove_number,side_to_move,player_elo,white,black,complexity_score,image_path,candidate_count,actual_move_uci,actual_move_san,actual_candidate_available,actual_realizability_score_v0,actual_maia_probability,actual_maia_rank,engine_best_uci,engine_best_san,engine_best_realizability_score_v0,engine_best_maia_probability,engine_best_maia_rank,top_realizability_uci,top_realizability_san,top_realizability_score_v0,actual_minus_engine_best_realizability,actual_matches_engine_best,actual_matches_top_realizability,actual_beats_engine_best
03jEUl79_ply_18,03jEUl79,18,10,white,1988,rrsa,Francictus,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_18.png,4,g5f4,Bf4,True,33.0,0.0013,23,d4f5,Nf5,56.61,0.205,2,d4f5,Nf5,56.61,-23.61,False,False,False
03jEUl79_ply_19,03jEUl79,19,10,black,2067,rrsa,Francictus,42,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_19.png,4,d7c5,Nc5,True,33.0,0.0581,6,d7f8,Nf8,33.0,0.2351,1,d6d5,d5,35.13,0.0,False,False,False
03jEUl79_ply_20,03jEUl79,20,11,white,1988,rrsa,Francictus,20,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_20.png,4,b2b4,b4,True,46.89,0.1851,2,a2a4,a4,33.0,0.0629,4,b2b4,b4,46.89,13.89,False,True,True
03jEUl79_ply_21,03jEUl79,21,11,black,2067,rrsa,Francictus,12,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_21.png,2,c5e6,Ne6,True,47.46,0.9006,1,c5e6,Ne6,47.46,0.9006,1,c5e6,Ne6,47.46,0.0,True,True,False
03jEUl79_ply_22,03jEUl79,22,12,white,1988,rrsa,Francictus,30,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_22.png,4,d4f5,Nf5,True,33.0,0.009,6,f4e3,Be3,33.0,0.5782,1,d4e6,Nxe6,63.83,0.0,False,False,False
03jEUl79_ply_23,03jEUl79,23,12,black,2067,rrsa,Francictus,11,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_23.png,1,e6f4,Nxf4,True,49.6,0.85,1,e6f4,Nxf4,49.6,0.85,1,e6f4,Nxf4,49.6,0.0,True,True,False
03jEUl79_ply_24,03jEUl79,24,13,white,1988,rrsa,Francictus,24,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_24.png,3,f5e7,Nxe7+,True,33.0,0.3385,1,f5e7,Nxe7+,33.0,0.3385,1,f5e7,Nxe7+,33.0,0.0,True,True,False
03jEUl79_ply_25,03jEUl79,25,13,black,2067,rrsa,Francictus,16,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_25.png,2,d8e7,Qxe7,True,61.3,0.8808,1,d8e7,Qxe7,61.3,0.8808,1,d8e7,Qxe7,61.3,0.0,True,True,False
03jEUl79_ply_26,03jEUl79,26,14,white,1988,rrsa,Francictus,18,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_26.png,3,e2c4,Bc4,True,33.0,0.5533,1,e2c4,Bc4,33.0,0.5533,1,e2c4,Bc4,33.0,0.0,True,True,False
03jEUl79_ply_27,03jEUl79,27,14,black,2067,rrsa,Francictus,21,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_27.png,3,c8e6,Be6,True,46.3,0.4274,1,c8e6,Be6,46.3,0.4274,1,c8e6,Be6,46.3,0.0,True,True,False
03jEUl79_ply_28,03jEUl79,28,15,white,1988,rrsa,Francictus,45,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_28.png,3,c4b3,Bb3,True,33.0,0.1715,3,c4b3,Bb3,33.0,0.1715,3,c4b3,Bb3,33.0,0.0,True,True,False
03jEUl79_ply_29,03jEUl79,29,15,black,2067,rrsa,Francictus,22,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_29.png,3,e6b3,Bxb3,True,44.21,0.5346,1,e6b3,Bxb3,44.21,0.5346,1,e6b3,Bxb3,44.21,0.0,True,True,False
03jEUl79_ply_30,03jEUl79,30,16,white,1988,rrsa,Francictus,29,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_30.png,3,c2b3,cxb3,True,33.0,0.267,2,a2b3,axb3,33.0,0.7283,1,c2b3,cxb3,33.0,0.0,False,True,False
03jEUl79_ply_31,03jEUl79,31,16,black,2067,rrsa,Francictus,34,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_31.png,4,f6d7,Nd7,True,33.0,0.0391,6,c7c6,c6,33.0,0.153,3,f6d7,Nd7,33.0,0.0,False,True,False
03jEUl79_ply_32,03jEUl79,32,17,white,1988,rrsa,Francictus,20,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_32.png,3,d1d2,Qd2,True,33.0,0.2113,2,d1d2,Qd2,33.0,0.2113,2,d1d2,Qd2,33.0,0.0,True,True,False
03jEUl79_ply_33,03jEUl79,33,17,black,2067,rrsa,Francictus,16,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_33.png,4,e7g5,Qg5,True,44.59,0.3833,1,f4g6,Ng6,40.98,0.2744,2,e7g5,Qg5,44.59,3.61,False,True,True
03jEUl79_ply_34,03jEUl79,34,18,white,1988,rrsa,Francictus,18,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_34.png,3,g1h1,Kh1,True,33.0,0.0807,5,g1h1,Kh1,33.0,0.0807,5,g1h1,Kh1,33.0,0.0,True,True,False
