position_id,game_id,ply_index,fullmove_number,side_to_move,white,black,white_elo,black_elo,complexity_score,image_path,actual_move_uci,actual_move_san,budget_count,best_move_path,best_move_switch_count,unique_best_move_count,best_score_min_cp,best_score_max_cp,best_score_mean_cp,best_score_range_cp,adjacent_top3_overlap_min,adjacent_top3_overlap_mean,adjacent_top5_overlap_min,adjacent_top5_overlap_mean,best_pv_prefix_min_plies,best_pv_prefix_mean_plies,actual_move_present_budget_count,actual_move_rank_min,actual_move_rank_max,actual_move_rank_mean,actual_move_rank_range,actual_move_rank_path
03jEUl79_ply_18,03jEUl79,18,10,white,rrsa,Francictus,1988,2067,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_18.png,g5f4,Bf4,6,50ms:Nf5 | 200ms:Nf5 | 1000ms:Nf5 | 5000ms:Nf5 | 15000ms:Nf5 | 60000ms:Nf5,0,1,27,76,45.1667,49,0.5,0.7,0.4286,0.6381,2,3,2,8,8,8,0,50ms:8 | 200ms:>10 | 1000ms:>10 | 5000ms:>10 | 15000ms:>10 | 60000ms:8
03jEUl79_ply_19,03jEUl79,19,10,black,rrsa,Francictus,1988,2067,42,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_19.png,d7c5,Nc5,6,50ms:d5 | 200ms:Nf8 | 1000ms:Nf8 | 5000ms:Nf8 | 15000ms:Nf8 | 60000ms:Nf8,1,2,4,26,17,22,0.5,0.9,0.6667,0.8,0,2.4,6,5,10,6.5,5,50ms:5 | 200ms:10 | 1000ms:6 | 5000ms:6 | 15000ms:7 | 60000ms:5
03jEUl79_ply_20,03jEUl79,20,11,white,rrsa,Francictus,1988,2067,20,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_20.png,b2b4,b4,6,50ms:a4 | 200ms:a4 | 1000ms:a4 | 5000ms:a4 | 15000ms:Qd2 | 60000ms:a4,2,2,20,42,30.6667,22,0.2,0.44,0.25,0.5833,0,0.6,0,,,,,50ms:>10 | 200ms:>10 | 1000ms:>10 | 5000ms:>10 | 15000ms:>10 | 60000ms:>10
03jEUl79_ply_22,03jEUl79,22,12,white,rrsa,Francictus,1988,2067,30,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_22.png,d4f5,Nf5,6,50ms:Bg3 | 200ms:Nxe6 | 1000ms:Be3 | 5000ms:Bg3 | 15000ms:Be3 | 60000ms:Nxe6,5,3,-50,-25,-44.1667,25,1.0,1.0,1.0,1.0,0,0,0,,,,,50ms:>10 | 200ms:>10 | 1000ms:>10 | 5000ms:>10 | 15000ms:>10 | 60000ms:>10
03jEUl79_ply_24,03jEUl79,24,13,white,rrsa,Francictus,1988,2067,24,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_24.png,f5e7,Nxe7+,6,50ms:Nxe7+ | 200ms:Nxe7+ | 1000ms:Nxe7+ | 5000ms:Nxe7+ | 15000ms:Nxe7+ | 60000ms:Nxe7+,0,1,-532,-459,-490.3333,73,0.5,0.5,0.4286,0.5905,2,3.2,6,1,1,1,0,50ms:1 | 200ms:1 | 1000ms:1 | 5000ms:1 | 15000ms:1 | 60000ms:1
03jEUl79_ply_26,03jEUl79,26,14,white,rrsa,Francictus,1988,2067,18,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_26.png,e2c4,Bc4,6,50ms:Bd3 | 200ms:Qd2 | 1000ms:Qd2 | 5000ms:Bd3 | 15000ms:Qd2 | 60000ms:Bd3,4,2,-508,-455,-477.3333,53,0.5,0.9,0.4286,0.7048,0,0.6,6,2,5,3.6667,3,50ms:3 | 200ms:2 | 1000ms:4 | 5000ms:5 | 15000ms:4 | 60000ms:4
03jEUl79_ply_27,03jEUl79,27,14,black,rrsa,Francictus,1988,2067,21,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_27.png,c8e6,Be6,6,50ms:a5 | 200ms:Be6 | 1000ms:Be6 | 5000ms:Be6 | 15000ms:d5 | 60000ms:d5,2,3,485,545,511.5,60,0.2,0.48,0.4286,0.7048,0,1.6,6,1,7,2.8333,6,50ms:2 | 200ms:1 | 1000ms:1 | 5000ms:1 | 15000ms:5 | 60000ms:7
03jEUl79_ply_28,03jEUl79,28,15,white,rrsa,Francictus,1988,2067,45,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_28.png,c4b3,Bb3,6,50ms:Bxe6 | 200ms:Bxe6 | 1000ms:Bd3 | 5000ms:Bxe6 | 15000ms:Bxe6 | 60000ms:Bxe6,2,2,-514,-456,-486.5,58,1.0,1.0,0.4286,0.819,0,1,6,2,3,2.6667,1,50ms:2 | 200ms:3 | 1000ms:3 | 5000ms:2 | 15000ms:3 | 60000ms:3
03jEUl79_ply_29,03jEUl79,29,15,black,rrsa,Francictus,1988,2067,22,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_29.png,e6b3,Bxb3,6,50ms:Ng6 | 200ms:c6 | 1000ms:Bxb3 | 5000ms:Bxb3 | 15000ms:Bxb3 | 60000ms:Bxb3,2,3,482,542,510,60,0.2,0.32,0.25,0.4405,0,1.6,6,1,2,1.3333,1,50ms:2 | 200ms:2 | 1000ms:1 | 5000ms:1 | 15000ms:1 | 60000ms:1
03jEUl79_ply_30,03jEUl79,30,16,white,rrsa,Francictus,1988,2067,29,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_30.png,c2b3,cxb3,6,50ms:axb3 | 200ms:cxb3 | 1000ms:cxb3 | 5000ms:cxb3 | 15000ms:cxb3 | 60000ms:cxb3,1,2,-520,-485,-501.3333,35,0.5,0.7,0.6667,0.8,0,3,6,1,2,1.1667,1,50ms:2 | 200ms:1 | 1000ms:1 | 5000ms:1 | 15000ms:1 | 60000ms:1
03jEUl79_ply_31,03jEUl79,31,16,black,rrsa,Francictus,1988,2067,34,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_31.png,f6d7,Nd7,6,50ms:Qd7 | 200ms:c6 | 1000ms:c6 | 5000ms:c6 | 15000ms:d5 | 60000ms:d5,2,3,481,575,514.1667,94,0.0,0.34,0.25,0.4048,0,1.6,0,,,,,50ms:>10 | 200ms:>10 | 1000ms:>10 | 5000ms:>10 | 15000ms:>10 | 60000ms:>10
