position_id,game_id,ply_index,fullmove_number,side_to_move,white,black,white_elo,black_elo,complexity_score,image_path,actual_move_uci,actual_move_san,fen
KT3Ooz7O_ply_34,KT3Ooz7O,34,18,white,xadrezfino,alwaysmakeaplan,1970,2033,79,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/KT3Ooz7O_ply_34.png,a1d1,Rad1,r3k2r/1p1n2pp/1pp1p3/8/1P2P3/5N2/P1P2PPP/R3R1K1 w kq - 0 18
KkAWuXpl_ply_42,KkAWuXpl,42,22,white,Tibilu69,sebxs_JM,1770,1779,77,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/KkAWuXpl_ply_42.png,g4g5,g5,r6r/3kbpp1/2q1p1p1/p1p1P3/1pPp1BPP/P2P4/KP1Q1P2/1R5R w - - 1 22
j83hSepE_ply_50,j83hSepE,50,26,white,blackmeta,SrPinguin,1600,1688,66,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/j83hSepE_ply_50.png,f1e1,Rfe1,3r3r/1pk3p1/p7/P2pp1n1/1P4P1/2P2P2/3N2P1/R4RK1 w - - 1 26
KT3Ooz7O_ply_36,KT3Ooz7O,36,19,white,xadrezfino,alwaysmakeaplan,1970,2033,65,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/KT3Ooz7O_ply_36.png,a2a4,a4,2kr3r/1p1n2pp/1pp1p3/8/1P2P3/5N2/P1P2PPP/3RR1K1 w - - 2 19
j8z7XEws_ply_38,j8z7XEws,38,20,white,JuanRapport,EnmanuelValdez2006,2085,2363,65,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/j8z7XEws_ply_38.png,a1d1,Rad1,r4rk1/pp1q3p/2p5/3pP1p1/1P2p3/P5P1/2Q1PP1P/R4RK1 w - - 0 20
Nxva2Kr3_ply_31,Nxva2Kr3,31,16,black,sermar15,nozari,1541,1565,64,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/Nxva2Kr3_ply_31.png,b8c6,Nc6,rn3rk1/ppp2ppp/1b1pb2q/8/3P4/2PB1NB1/PP1NQ1PP/1K1R3R b - - 3 16
j83hSepE_ply_22,j83hSepE,22,12,white,blackmeta,SrPinguin,1600,1688,64,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/j83hSepE_ply_22.png,c1g5,Bg5,r2qk2r/1p2bpp1/p1n1pnp1/P2p4/1P1P4/2P2N1P/5PP1/RNBQK2R w KQkq - 0 12
V6hR1cp3_ply_44,V6hR1cp3,44,23,white,Nimzo-Kenyan,T63006337,1968,1923,63,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/V6hR1cp3_ply_44.png,e5g4,Ng4,r4rk1/ppp1b1pp/4qp2/4N3/3PPQ2/1PP3P1/P6P/R3R1K1 w - - 0 23
rB9nsFce_ply_31,rB9nsFce,31,16,black,Derrikf3,jasskol,1306,1413,63,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/rB9nsFce_ply_31.png,g8f6,Nf6,4k1nr/2pbb1pp/p7/4p3/1p2q3/4PNB1/PPP2PPP/R2Q1RK1 b k - 3 16
4hP4UqNB_ply_39,4hP4UqNB,39,20,black,Shreeyansh0708,Guru-12345,1244,1240,62,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/4hP4UqNB_ply_39.png,h7h6,h6,r1r3k1/5ppp/p1ppbq2/4p3/8/P2PQN1P/1PP2PP1/R2R2K1 b - - 3 20
7DOMDObe_ply_45,7DOMDObe,45,23,black,Gervasiodomingos,xaver34,1742,1786,61,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/7DOMDObe_ply_45.png,e7f6,Bf6,3r1rnk/pp1qb2b/2p5/3P1p2/8/2N1NPP1/PPPQ3P/R3R1K1 b - - 0 23
bRZqybLN_ply_42,bRZqybLN,42,22,white,Barlenalfi33,carpetis,1588,1532,61,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/bRZqybLN_ply_42.png,e6c4,Qc4,rnk2r2/pp1qb3/2p1Q3/4P3/3P1B2/2P5/P5PP/3R1RK1 w - - 5 22
cg6KIugn_ply_49,cg6KIugn,49,25,black,vtornir,Davin_Chess1,1786,1785,61,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/cg6KIugn_ply_49.png,f8d8,Rfd8,r4rk1/p5pp/2p1p3/q3Pp2/P1pP1P2/2P5/3Q2PP/R1R3K1 b - - 1 25
v1ofntdB_ply_47,v1ofntdB,47,24,black,MSJ_98,xeqtr85,2009,2021,60,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/v1ofntdB_ply_47.png,f7f6,f6,5rk1/p4ppp/1p2p3/3p4/8/2R1PN2/PP3PPP/6K1 b - - 0 24
rPff1hDs_ply_19,rPff1hDs,19,10,black,GLAUBER_chess13,r9361809,1216,1341,59,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/rPff1hDs_ply_19.png,b8c6,Nc6,rnb1kb1r/p4ppp/4pn2/q2p4/2pP1B2/2P1PN2/P1QNBPPP/R4RK1 b kq - 4 10
7DOMDObe_ply_26,7DOMDObe,26,14,white,Gervasiodomingos,xaver34,1742,1786,58,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/7DOMDObe_ply_26.png,h6d2,Qd2,rn1q1rnk/pp2bp1b/2p4Q/3p4/8/2NP1NP1/PPP2PBP/R3R1K1 w - - 1 14
7DOMDObe_ply_44,7DOMDObe,44,23,white,Gervasiodomingos,xaver34,1742,1786,58,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/7DOMDObe_ply_44.png,d4d5,d5,3r1rnk/pp1qb2b/2p5/5p2/3P4/2N1NPP1/PPPQ3P/R3R1K1 w - - 4 23
IECZqCHk_ply_23,IECZqCHk,23,12,black,Marco_Diaz,duwirstverlieren,1634,1599,58,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/IECZqCHk_ply_23.png,h5f7,Bf7,rn2kb1r/p3q1p1/2pp1n1p/1p2p2b/4P3/P1N1QN1P/BPP2PP1/R1B2RK1 b kq - 3 12
IGiGGnz5_ply_18,IGiGGnz5,18,10,white,VictorjulioZurita,ahaw_kin,1682,1720,58,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/IGiGGnz5_ply_18.png,a4c2,Bc2,r1bqk2r/pp1nnpb1/2p1p1pp/3pP3/B2P1P2/2P2N2/PP4PP/RNBQ1RK1 w kq - 0 10
XtpsyD6Q_ply_32,XtpsyD6Q,32,17,white,Hardrock572,Israelor79,1903,1836,57,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XtpsyD6Q_ply_32.png,f3e1,Ne1,2kr3r/ppp2pp1/2n1p1b1/4P1Pp/Pn1p1B2/1P1P1N1P/2P2PB1/R4RK1 w - - 0 17
iRKdpzfA_ply_29,iRKdpzfA,29,15,black,WWWMM,sergey1008,1631,1620,57,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/iRKdpzfA_ply_29.png,f8b4,Bxb4,2kr1b1r/1bq2ppp/2n1pn2/pB1p4/PP2P3/1Q2BN2/NP3PPP/3R1RK1 b - - 0 15
IECZqCHk_ply_31,IECZqCHk,31,16,black,Marco_Diaz,duwirstverlieren,1634,1599,56,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/IECZqCHk_ply_31.png,h6h5,h5,r3kb1r/p2n1q2/2pp1n1p/1p2p1p1/4P3/P1N1Q2P/1PPN1PP1/R3BRK1 b kq - 3 16
168VjK8g_ply_41,168VjK8g,41,21,black,AbdlGayed,castles_wrong,1485,1490,55,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/168VjK8g_ply_41.png,e6f6,Qf6,r4r1k/p1p3bp/1p2q1p1/4pp2/2B1n3/PP5Q/5PPP/R1B2RK1 b - - 2 21
XihfAk9F_ply_25,XihfAk9F,25,13,black,FDSV,ZucaVictor,2025,1888,55,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_25.png,e4c3,Nxc3,3rk2r/ppq2ppp/2n5/5b2/2P1n3/P1P2N2/3BPPPP/R2QKB1R b KQk - 2 13
XtpsyD6Q_ply_33,XtpsyD6Q,33,17,black,Hardrock572,Israelor79,1903,1836,55,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XtpsyD6Q_ply_33.png,b4d5,Nd5,2kr3r/ppp2pp1/2n1p1b1/4P1Pp/Pn1p1B2/1P1P3P/2P2PB1/R3NRK1 b - - 1 17
tiUoqkJo_ply_27,tiUoqkJo,27,14,black,grey-dancer,popexe911,1198,1325,55,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/tiUoqkJo_ply_27.png,e5f6,Qf6,rnb2rk1/ppp2ppp/4p3/4q3/2N5/1P1B4/P1PB1PPP/R2Q1RK1 b - - 1 14
168VjK8g_ply_19,168VjK8g,19,10,black,AbdlGayed,castles_wrong,1485,1490,54,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/168VjK8g_ply_19.png,f8g7,Bg7,rn1qkb1r/pbp4p/1p1np1p1/5p2/2P5/P2BP2Q/1P3PPP/RNB1K1NR b KQkq - 1 10
5NtMrs6m_ply_46,5NtMrs6m,46,24,white,edu017-ke,VLAD339,1725,1696,54,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/5NtMrs6m_ply_46.png,c2b3,Qb3,1kr5/1bb1qp1r/p3p1n1/3p4/1p1B4/4P2P/P1QN1PP1/1KR4R w - - 4 24
